PLAYER,2024 SALARY,2024 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Kierstan Bell,"$74,398 ",Rookie,36,0,11.8,3.7,1.5,4.3,34.60%,0.9,2,46.50%,0.6,2.3,24.40%,0.2,0.3,60.00%,0.4,1.2,1.6,0.5,0.4,0.4,0.1,1.3
Kristi Toliver,,UFA,11,0,9,3.6,1.2,3.5,33.30%,0.3,1,27.30%,0.9,2.5,35.70%,0.4,0.5,80.00%,0.1,0.6,0.7,0.7,0.6,0.3,0,0.8
Rae Burrell,"$125,000 ",UFA,29,3,11.1,3.6,1.2,3.2,38.70%,0.7,1.8,38.50%,0.6,1.4,39.00%,0.6,0.7,81.00%,0.4,0.8,1.2,0.6,0.5,0.4,0.1,0.9
Sika Kone,"$64,154 ",--,20,0,9.3,3.6,1.3,2.4,53.20%,1.2,2.1,56.10%,0.1,0.3,33.30%,1,1.3,76.90%,1.1,1.9,3,0.5,1.1,0.2,0.1,1.7
Brianna Turner,"$150,000 ",--,40,33,26.3,3.5,1.7,2.6,65.00%,1.7,2.6,65.00%,0,0,--,0.2,0.3,50.00%,1.3,5.1,6.3,1.3,1.5,1,1.1,2.2
Bridget Carleton,"$125,000 ",UFA,38,4,15.1,3.2,1.1,3.1,34.50%,0.3,0.8,36.70%,0.8,2.3,33.70%,0.3,0.4,73.30%,0.5,1.8,2.3,0.9,0.4,0.3,0.1,1.3
Laeticia Amihere,"$72,727 ",--,20,0,7.3,2.8,0.9,2.1,40.50%,0.9,2.1,41.50%,0,0.1,0.00%,1.1,2.1,53.70%,0.3,0.8,1,0.2,0.6,0.3,0.5,1.1
Jade Melbourne,"$64,154 ",--,29,0,10.6,2.6,0.9,2.2,39.10%,0.8,1.5,50.00%,0.1,0.7,15.00%,0.8,1,79.30%,0.2,1,1.2,1.2,0.9,0.4,0,1.6
Awak Kuier,"$89,302 ",Rookie,37,4,10.8,2.6,1,2.5,39.60%,0.9,1.8,50.00%,0.1,0.6,8.70%,0.6,0.7,77.80%,0.6,1.9,2.5,0.5,0.6,0.2,0.6,0.8
Yvonne Turner,,UFA,21,7,9.2,2.5,0.9,2,46.30%,0.9,1.8,47.40%,0,0.1,33.30%,0.7,0.9,77.80%,0.1,1,1.1,0.9,0.7,0.4,0.1,0.7
Cayla George,,UFA,32,0,8.5,2.3,0.9,3.3,28.80%,0.5,1.3,37.50%,0.5,2,23.40%,0,0.1,0.00%,0.5,1.3,1.8,0.4,0.8,0.3,0.2,1.1
Nyara Sabally,"$72,727 ",--,33,0,7.9,2.3,0.8,1.8,42.40%,0.7,1.5,46.00%,0.1,0.3,22.20%,0.7,1,75.00%,0.6,1.5,2.1,0.2,0.5,0.1,0.2,1.2
Kiah Stokes,"$100,000 ",UFA,40,22,19.8,2.2,0.9,2.1,43.40%,0.8,1.4,55.40%,0.1,0.7,18.50%,0.2,0.5,50.00%,1.1,4.7,5.9,0.6,0.4,0.7,1,1.8
Bernadett Hatar,,Reserved,6,0,7.9,2,1,2.7,37.50%,1,2.7,37.50%,0,0,--,0,0,--,0.5,1,1.5,0.2,0.7,0.7,0.3,1.5
Odyssey Sims,,UFA,28,0,12,2,0.8,2.5,30.40%,0.7,1.9,35.20%,0.1,0.5,13.30%,0.4,0.7,55.00%,0.3,1,1.3,2.2,0.6,0.4,0,1.1
Liz Dixon,"$64,154 ",UFA,14,0,5.6,1.9,0.7,1.4,52.60%,0.7,1.4,52.60%,0,0,--,0.5,0.6,87.50%,0.6,0.4,1.1,0.2,0.3,0,0.2,0.3
Iliana Rupert,"$74,398 ",Rookie,20,0,7.9,1.8,0.6,1.7,35.30%,0.3,0.6,50.00%,0.3,1.1,27.30%,0.3,0.4,62.50%,0.4,1.6,2,0.5,0.5,0.4,0.4,1.1
Emily Engstler,"$64,154 ",UFA,12,0,7.8,1.8,0.7,1.8,38.10%,0.5,1.2,42.90%,0.2,0.6,28.60%,0.3,0.7,37.50%,0.9,1.5,2.4,0.6,0.8,0.4,0.1,0.7
Amanda Zahui B.,,UFA,34,1,7.4,1.7,0.5,2.1,25.70%,0.4,1,36.40%,0.2,1.1,16.20%,0.4,0.6,75.00%,0.2,0.9,1.1,0.3,0.4,0.2,0.5,1.3
Han Xu,,Reserved,8,0,4.4,1.5,0.8,2.5,30.00%,0.8,1.6,46.20%,0,0.9,0.00%,0,0,--,0.4,0.5,0.9,0,0.6,0.3,0.1,0.3
Victaria Saxton,"$64,154 ",--,15,0,3.6,1.3,0.4,1.2,33.30%,0.3,1.1,31.30%,0.1,0.1,50.00%,0.4,0.5,85.70%,0.1,0.5,0.7,0,0.4,0.1,0,0.6
